Product_ID,Item_Weight,Item_Type,Item_MRP,Packaging_Type,Packaging_Weight_kg,Supplier_Location,Warehouse_Location,Distance_km,Transport_Mode,Production_Emission_Factor,Packaging_Emission_Factor,Delivery_Emission_Factor,Product_Emissions,Packaging_Emissions,Delivery_Emissions,Total_Emissions
FDI26,,Canned,180.0344,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,0,0.41,6,6.41
FDM20,10,Fruits and Vegetables,246.9144,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,7,0.027,30,37.027
FDV27,7.97,Meat,87.3514,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,215.19,0.108,12,227.298
FDF09,,Fruits and Vegetables,38.2848,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,0,0.027,30,30.027
FDY40,,Frozen Foods,51.0692,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,0,0.081,52.5,52.581
FDY45,,Snack Foods,255.8356,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,0,0.054,6,6.054
FDC46,17.7,Snack Foods,185.4266,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,44.25,0.054,6,50.304
FDH19,19.35,Meat,172.5738,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,522.45,0.108,12,534.558
FDZ03,13.65,Dairy,186.024,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,38.22,0.081,45,83.301
DRH37,17.6,Soft Drinks,164.8526,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,26.4,0.135,6,32.535
NCI17,8.645,Health and Hygiene,95.841,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,25.935,0.081,18,44.016
FDJ58,15.6,Snack Foods,170.1764,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,39,0.054,6,45.054
FDL12,15.85,Baking Goods,59.222,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,31.7,0.054,6,37.754
FDH35,18.25,Starchy Foods,164.7526,Plastic Bag,0.02,Uttar Pradesh,Delhi,250,Truck,1.5,2.7,0.12,27.375,0.054,30,57.429
FDG02,7.855,Canned,189.6188,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,47.13,0.41,6,53.54
NCZ18,7.825,Household,254.3698,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,31.3,0.135,18,49.435
FDC29,8.39,Frozen Foods,114.0176,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,25.17,0.081,52.5,77.751
FDQ10,12.85,Snack Foods,172.3422,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,32.125,0.054,6,38.179
FDN48,,Baking Goods,89.9804,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,0,0.054,6,6.054
FDL04,19,Frozen Foods,104.9622,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,57,0.081,52.5,109.581
FDV25,5.905,Canned,222.5456,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,35.43,0.41,6,41.84
FDD58,7.76,Snack Foods,101.87,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,19.4,0.054,6,25.454
FDN04,11.8,Frozen Foods,180.3344,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,35.4,0.081,52.5,87.981
FDV45,16.75,Snack Foods,187.9556,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,41.875,0.054,6,47.929
NCL18,,Household,194.6136,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,0,0.135,18,18.135
FDR12,,Baking Goods,171.3764,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,0,0.054,6,6.054
FDG20,15.5,Fruits and Vegetables,177.0028,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,10.85,0.027,30,40.877
FDZ55,6.055,Fruits and Vegetables,160.992,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,4.2385,0.027,30,34.2655
FDQ49,,Breakfast,155.963,Plastic Pouch/Box,0.02,Karnataka,Bangalore,50,Truck,1.8,2.7,0.12,0,0.054,6,6.054
FDN33,6.305,Snack Foods,95.6436,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,15.7625,0.054,6,21.8165
FDN27,20.85,Meat,117.2808,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,562.95,0.108,12,575.058
FDW20,20.75,Fruits and Vegetables,122.173,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,14.525,0.027,30,44.552
DRG27,8.895,Dairy,39.9138,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,24.906,0.081,45,69.987
DRI25,19.6,Soft Drinks,55.1614,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,29.4,0.135,6,35.535
FDA44,19.7,Fruits and Vegetables,57.893,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,13.79,0.027,30,43.817
NCR17,9.8,Health and Hygiene,114.5492,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,29.4,0.081,18,47.481
FDU04,,Frozen Foods,120.0414,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,0,0.081,52.5,52.581
FDF41,12.15,Frozen Foods,246.046,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,36.45,0.081,52.5,89.031
FDB56,8.75,Fruits and Vegetables,187.4556,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,6.125,0.027,30,36.152
NCP18,,Household,149.9708,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,0,0.135,18,18.135
FDB56,8.75,Fruits and Vegetables,187.8556,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,6.125,0.027,30,36.152
FDT28,13.3,Frozen Foods,151.0708,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,39.9,0.081,52.5,92.481
FDD10,,Snack Foods,178.5344,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,0,0.054,6,6.054
FDW57,8.31,Snack Foods,179.1028,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,20.775,0.054,6,26.829
DRB48,16.75,Soft Drinks,38.7822,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,25.125,0.135,6,31.26
FDP09,19.75,Snack Foods,212.0902,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,49.375,0.054,6,55.429
FDH14,17.1,Canned,141.1838,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,102.6,0.41,6,109.01
FDA47,10.5,Baking Goods,163.121,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,21,0.054,6,27.054
FDG12,6.635,Baking Goods,121.3098,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,13.27,0.054,6,19.324
DRE60,,Soft Drinks,225.372,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,0,0.135,6,6.135
DRK49,14.15,Soft Drinks,41.4138,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,21.225,0.135,6,27.36
FDD03,13.3,Dairy,232.53,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,37.24,0.081,45,82.321
FDS52,8.89,Frozen Foods,102.4016,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,26.67,0.081,52.5,79.251
FDW39,,Meat,176.937,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,0,0.108,12,12.108
FDX34,,Snack Foods,121.7098,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,0,0.054,6,6.054
FDV11,9.1,Breads,173.2054,Plastic Bag/Paper Pouch,0.02,Haryana,Delhi,80,Truck,1.2,2.7,0.12,10.92,0.054,9.6,20.574
FDD17,7.5,Frozen Foods,239.0906,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,22.5,0.081,52.5,75.081
FDZ16,16.85,Frozen Foods,192.4478,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,50.55,0.081,52.5,103.131
FDZ46,7.485,Snack Foods,109.0228,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,18.7125,0.054,6,24.7665
DRA12,11.6,Soft Drinks,140.3154,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,17.4,0.135,6,23.535
FDY58,11.65,Snack Foods,227.0694,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,29.125,0.054,6,35.179
NCF19,13,Household,47.5034,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,52,0.135,18,70.135
DRJ13,12.65,Soft Drinks,159.0578,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,18.975,0.135,6,25.11
FDB14,20.25,Canned,92.512,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,121.5,0.41,6,127.91
FDJ38,8.6,Canned,190.153,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,51.6,0.41,6,58.01
FDW11,12.6,Breads,62.7194,Plastic Bag/Paper Pouch,0.02,Haryana,Delhi,80,Truck,1.2,2.7,0.12,15.12,0.054,9.6,24.774
FDL40,17.7,Frozen Foods,95.041,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,53.1,0.081,52.5,105.681
DRI49,14.15,Soft Drinks,82.4276,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,21.225,0.135,6,27.36
FDV38,19.25,Dairy,52.7956,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,53.9,0.081,45,98.981
DRG23,8.88,Hard Drinks,151.7682,Glass Bottle,0.2,Goa,Mumbai,600,Train,2,0.85,0.04,17.76,0.17,24,41.93
NCP30,20.5,Household,40.2822,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,82,0.135,18,100.135
FDY25,,Canned,180.5976,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,0,0.41,6,6.41
NCH54,13.5,Household,160.292,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,54,0.135,18,72.135
NCR53,,Health and Hygiene,224.4404,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,0,0.081,18,18.081
FDS52,8.89,Frozen Foods,101.7016,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,26.67,0.081,52.5,79.251
FDG02,7.855,Canned,188.5188,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,47.13,0.41,6,53.54
NCO26,7.235,Household,116.0492,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,28.94,0.135,18,47.075
FDH35,,Starchy Foods,165.4526,Plastic Bag,0.02,Uttar Pradesh,Delhi,250,Truck,1.5,2.7,0.12,0,0.054,30,30.054
FDB51,6.92,Dairy,60.5852,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,19.376,0.081,45,64.457
FDX44,9.3,Fruits and Vegetables,90.8172,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,6.51,0.027,30,36.537
NCN07,18.5,Others,132.1284,Mixed (Default: Plastic),0.03,Delhi,Delhi,,Air,2,2.7,0.5,37,0.081,#VALUE!,#VALUE!
NCC31,8.02,Household,154.5972,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,32.08,0.135,18,50.215
NCX54,9.195,Household,105.1622,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,36.78,0.135,18,54.915
NCO55,12.8,Others,105.5938,Mixed (Default: Plastic),0.03,Delhi,Delhi,,Air,2,2.7,0.5,25.6,0.081,#VALUE!,#VALUE!
NCC30,16.6,Household,177.6344,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,66.4,0.135,18,84.535
FDI16,14,Frozen Foods,53.064,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,42,0.081,52.5,94.581
FDP16,18.6,Frozen Foods,246.3802,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,55.8,0.081,52.5,108.381
FDB11,16,Starchy Foods,226.8404,Plastic Bag,0.02,Uttar Pradesh,Delhi,250,Truck,1.5,2.7,0.12,24,0.054,30,54.054
NCB06,17.6,Health and Hygiene,160.692,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,52.8,0.081,18,70.881
FDA45,21.25,Snack Foods,178.237,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,53.125,0.054,6,59.179
NCO26,7.235,Household,117.5492,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,28.94,0.135,18,47.075
DRJ25,14.6,Soft Drinks,50.3692,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,21.9,0.135,6,28.035
FDR28,13.85,Frozen Foods,161.521,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,41.55,0.081,52.5,94.131
FDI04,13.65,Frozen Foods,197.6426,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,40.95,0.081,52.5,93.531
DRK12,,Soft Drinks,31.29,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,0,0.135,6,6.135
FDX20,7.365,Fruits and Vegetables,226.172,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,5.1555,0.027,30,35.1825
NCI18,18.35,Household,223.5746,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,73.4,0.135,18,91.535
FDB36,5.465,Baking Goods,132.5626,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,10.93,0.054,6,16.984
FDN13,18.6,Breakfast,99.8358,Plastic Pouch/Box,0.02,Karnataka,Bangalore,50,Truck,1.8,2.7,0.12,33.48,0.054,6,39.534
DRD24,13.85,Soft Drinks,140.9154,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,20.775,0.135,6,26.91
FDQ28,14,Frozen Foods,154.5656,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,42,0.081,52.5,94.581
FDM22,14,Snack Foods,54.764,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,35,0.054,6,41.054
FDR07,,Fruits and Vegetables,97.0094,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,0,0.027,30,30.027
FDV25,5.905,Canned,222.5456,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,35.43,0.41,6,41.84
DRF49,7.27,Soft Drinks,114.2518,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,10.905,0.135,6,17.04
FDW51,6.155,Meat,214.556,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,166.185,0.108,12,178.293
DRL01,19.5,Soft Drinks,233.4958,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,29.25,0.135,6,35.385
FDP25,15.2,Canned,216.8824,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,91.2,0.41,6,97.61
